lat,lon
18.65431107,72.96806844
54.65323108,20.64716502
37.65083279,-120.9532013
29.99143228,71.55478122
41.29351334,-81.75286004
42.10435557,24.65966182
40.7804985,-73.95120239
36.28828941,-86.40820327
47.57310433,-122.3128986
-18.25399298,-66.75172444
37.20612386,-81.24676208
30.0456475,-95.19561588
36.77970299,-121.1658733
43.7580926,-79.34625376
22.99210451,113.0934925
52.50412328,-1.768873499
28.0038639,-82.55466351
-23.46622409,-46.42495179
14.16507463,79.69282411
51.03323195,13.74777154
28.04401268,120.6080235
36.58028338,-92.50182682
44.84093275,11.23637127
9.9666996,76.23329926
34.05252425,-118.2056104
29.91198235,75.00666901
38.30389271,-78.92163293
47.36705238,26.59261527
41.72847229,-72.7275028
-6.238670653,106.5367596
59.24153224,17.63430656
53.79090695,-110.3292941
23.84636002,90.6787796
55.96723602,38.55600845
-21.60337292,-43.20910536
42.32653457,-83.05071481
55.98237975,-3.499120535
-15.51023677,-47.94423372
31.67129993,121.6301003
50.51339465,3.84847116
40.76437073,-74.03529205
52.31816262,-0.676225299
30.03329472,-95.52223693
41.44633707,-75.64888167
37.80521127,-122.2706986
23.70000076,90.375
40.14055389,20.36448846
41.49349973,-81.6957254
46.61979061,-117.0197299
-37.8544993,144.2123323
47.06300671,8.334581671
23.0333004,113.7166977
42.91955025,-108.1289825
51.81012039,14.35549971
13.87078067,100.4976361
40.7804985,-73.95120239
37.14821043,-121.6351394
55.57297164,-4.594217686
13.33523361,77.04975001
39.93731376,-82.31773908
44.45882956,-80.96306356
51.47549648,-0.090371001
38.738389,-89.82748772
51.55018795,-0.155225878
-37.86403266,144.9904818
26.54109925,-81.88778545
55.78637203,8.968602286
29.64690018,-82.35590363
40.69440079,-73.99060059
35.8800535,-79.16448143
23.82501041,91.27266778
47.26654909,-120.406142
51.41081916,21.17977325
28.56154017,115.9323626
42.18899918,-87.8062973
51.51536491,-0.078622855
51.52498467,-0.105029851
48.39073577,14.16756257
39.06035831,-97.6284229
43.82771691,17.90446858
33.43424942,-112.1460891
23.15749931,90.71379852
37.38532579,-122.0854357
42.78136095,25.36887259
28.06520244,-82.09269086
20.15330959,-98.69751907
39.24526352,-84.6727302
38.90074061,-77.0439841
53.1490794,-0.606595962
35.83909842,139.9698093
23.0333004,72.61669922
45.29452993,-75.86940371
37.22118594,-121.9524951
11.44790528,77.99687092
40.0414547,-121.9641315
19.24865181,74.63130707
40.74140328,-73.92900479
41.82537965,-71.39253069
40.68137213,-73.46658255
18.70115386,-70.29138496
35.48198201,-81.26725525
41.19092372,-111.9616185
51.51642279,-0.0894
50.56538385,4.687231779
43.3412566,21.9141965
51.89932732,0.281672605
40.8440177,-74.29697979
47.49350534,-101.8149428
34.03020096,-118.2406998
34.07640076,-118.2626038
43.93466703,-78.89292405
30.14380074,-81.5401001
51.50111554,-0.112482477
12.92506942,79.14271698
42.10905186,-82.74893312
40.66631905,-73.98715793
13.10219955,77.38999939
40.7287685,-74.21584165
27.59006627,-82.43720088
51.06278593,0.339613894
42.15506122,-88.31955935
38.07511472,-97.95348594
38.92041439,-77.37380889
3.869170922,-76.18907433
32.29509816,-95.30858828
38.43341978,-96.16121211
39.57913187,-75.69410239
56.37033393,50.06058669
43.04141432,-71.48275874
38.64417595,-76.59797958
30.3259215,76.58524545
51.01989509,4.03348105
34.00750404,-117.9767703
28.48208727,-81.42944877
47.60509872,-122.1134033
38.9592669,-95.25621937
33.41584317,-84.03547162
29.78735677,-95.04211099
43.01828347,-88.28428942
37.5854667,-119.9532836
39.48503586,-80.06128275
30.68062918,-84.18884176
42.61883496,-71.34990189
52.68398524,-2.476394185
